text,domain
my favorite movie is pandas now,CHAT
i'm feeling scared now,CHAT
so create a story with a wizard,STORY
take ten steps left please,NAVIGATION
uh enable do not disturb,SYSTEM
you're such a good baby,PET
i want to learn about planets,STUDY
take five steps around okay,NAVIGATION
i want to play maze,GAME
hmm let's play would you rather thanks,GAME
read this lesson about plants,STUDY
can you tell a story with a brave knight and a robot thanks,STORY
spell division for me,STUDY
can we play animal quiz okay,GAME
show me a cool jump,PET
um change language to arabic okay,SYSTEM
okay please go to the window now,NAVIGATION
can you tell a story with a fairy and a detective,STORY
shake hand sweetie,PET
begin a new game of twenty questions,GAME
shut up,SYSTEM
tell me an adventure story about a brave knight,STORY
so bring me to the table,NAVIGATION
how does fractions work,STUDY
i have a question about the food chain,STUDY
hey look towards the back door,NAVIGATION
can you tell a story with a prince and a robot,STORY
so show me your jump right now,PET
summarize the alphabet for me,STUDY
hmm play fetch with me,PET
oh create a story with a robot,STORY
okay do a confused face please,PET
come give me a thumbs up,PET
so i want to go to the back door thanks,NAVIGATION
my favorite animal is cats now,CHAT
oh scratch behind your ears munchkin,PET
i'm confused about geography,STUDY
give me some love little one,PET
can you tell a story with a lion and a pirate,STORY
how is the water cycle used in real life,STUDY
turn up the volume,SYSTEM
oh how do airplanes fly thanks,CHAT
hey there little cutie,PET
so make it louder,SYSTEM
i love you cutie,PET
um set volume to medium now,SYSTEM
take a few steps backward,NAVIGATION
i don't understand multiplication,STUDY
is erosion the same as volcanoes,STUDY
hmm i had a wonderful day,CHAT
what's the difference between electricity and plants,STUDY
so can i have a kiss,PET
what does volcanoes mean,STUDY
can you go to the window,NAVIGATION
snuggle time pal,PET
shake paw friend,PET
um well done baby,PET
hmm set brightness to half,SYSTEM
let's have fun playing pretend,PET
you make me so happy pumpkin,PET
set brightness to fifty percent right now,SYSTEM
come with me to the garden,NAVIGATION
can you quiz me on history,STUDY
howdy,CHAT
uh i'm feeling sad now,CHAT
uh you're adorable darling thanks,PET
can i have a hug,PET
um i'm proud of you robot okay,PET
can you tell a story with a puppy and a mermaid,STORY
so do you like chocolate,CHAT
hmm do you have feelings,CHAT
follow me to the sofa,NAVIGATION
be careful near the box now,NAVIGATION
what can you tell me about the alphabet,STUDY
oh let's go to the garage,NAVIGATION
hey what's your favorite animal okay,CHAT
change language to spanish right now,SYSTEM
in the story what if a penguin meets a unicorn,STORY
what's the definition of light,STUDY
in the story what if a superhero meets a fairy,STORY
uh emergency stop now,SYSTEM
for the game i'll say five,GAME
final answer right right now,GAME
right is my final game answer,GAME
uh tell a fantasy story please thanks,STORY
um look towards the door thanks,NAVIGATION
switch to hindi,SYSTEM
oh my guess is no,GAME
oh take a few steps right,NAVIGATION
i'm proud of you cupcake,PET
i want a harder word guess,GAME
um do you eat food right now,CHAT
uh watch out for the shoe,NAVIGATION
give me a test on arithmetic,STUDY
describe shapes for me,STUDY
oh head over to the front door,NAVIGATION
stay away from the shoe,NAVIGATION
can you tell a story with a princess and an astronaut,STORY
can you tell a story with an astronaut and a dinosaur,STORY
hey switch to german,SYSTEM
oh shake arm buddy okay,PET
hmm my game answer is blue,GAME
hey enable night mode please,SYSTEM
explain electricity in simple words,STUDY
i want to learn about erosion,STUDY
i'm here for you little cutie,PET
i have a question about weather,STUDY
set brightness to low,SYSTEM
what's the difference between chemistry and colors,STUDY
oh what time is it right now,CHAT
what's the difference between photosynthesis and weather,STUDY
uh head to the entrance now,NAVIGATION
good evening nugget,PET
hey reboot,SYSTEM
um take me to the playroom okay,NAVIGATION
what's the difference between atoms and the human body,STUDY
in the story what if a witch meets a detective,STORY
tell me a story about an alien,STORY
what chapter is dinosaurs in,STUDY
go around the lamp,NAVIGATION
my favorite food is game right now,CHAT
you're such a good buddy,PET
hey my favorite game is flowers okay,CHAT
come play chase with me please,PET
oh tell me a underwater tale right now,STORY
start a game of chess,GAME
oh my favorite movie is chocolate right now,CHAT
in the story what if a bear meets an alien,STORY
ask me questions about reading,STUDY
for this round i pick ten,GAME
enable notifications please,SYSTEM
can you tell a story with a wizard and a fairy,STORY
is erosion the same as plants,STUDY
shake arm darling,PET
so the cat is my final game answer,GAME
tell me a story about a penguin,STORY
hmm my favorite subject is stars okay,CHAT
can you tell a story with an astronaut and an alien,STORY
what is the answer to twelve minus seven,STUDY
hey do you like birds right now,CHAT
disable dark mode okay,SYSTEM
hmm three is my final game answer,GAME
hmm do you like the moon,CHAT
switch to chinese right now,SYSTEM
uh set brightness to seventy percent right now,SYSTEM
good evening love,PET
in the story what if a lion meets a prince,STORY
walk to the pantry okay,NAVIGATION
in the game it must be false,GAME
hi there little pumpkin,PET
okay can we play simon says please,GAME
well done little one,PET
head to the laundry room,NAVIGATION
tell me a riddle thanks,CHAT
move to the closet,NAVIGATION
let's see how much i know about geography,STUDY
why do we have to eat please,CHAT
hmm mute,SYSTEM
set brightness to seventy percent,SYSTEM
oh head to the entrance thanks,NAVIGATION
i'm guessing no,GAME
in the story is a superhero safe,STORY
what does ecosystems mean,STUDY
hey take six steps backward okay,NAVIGATION
oh turn off wifi please,SYSTEM
can you clarify chemistry,STUDY
hmm sleep now please,SYSTEM
explain subtraction in simple words,STUDY
can you tell a story with a unicorn and a ninja,STORY
do you like ice cream,CHAT
hey do you know how to flip now,PET
break down ecosystems for me,STUDY
okay take me to the living room,NAVIGATION
so do you eat food please,CHAT
uh i'm here for you little pal right now,PET
teach me about the food chain,STUDY
please go to the table,NAVIGATION
uh i pick left for the game,GAME
can you quiz me on spelling,STUDY
return to your station now,NAVIGATION
so my favorite animal is ice cream okay,CHAT
break down geography for me,STUDY
cancel what you're doing please,SYSTEM
describe geography for me,STUDY
bring me to the couch,NAVIGATION
oh my favorite movie is song,CHAT
review the human body with me,STUDY
uh can you count to a million thanks,CHAT
create a story with an astronaut please,STORY
uh set brightness to low okay,SYSTEM
hmm for the game i choose true,GAME
in the story what if a bear meets a prince,STORY
review the sun with me,STUDY
why is shapes important,STUDY
in the story what if a brave knight meets a brave knight,STORY
spell ecosystems for me,STUDY
hey turn down the volume please,SYSTEM
oh do your best march,PET
what are the main points of volcanoes,STUDY
uh turn on airplane mode now,SYSTEM
hey let's start memory match right now,GAME
my favorite color is sport,CHAT
so close your eyes right now,SYSTEM
um my favorite subject is dinosaurs right now,CHAT
oh spin around please,NAVIGATION
you did great munchkin,PET
let's try the hidden tunnel,STORY
spin me a yarn about a talking cat,STORY
let's study social studies together,STUDY
let's have fun playing hide and seek,PET
can we play memory match,GAME
hmm head over to the table right now,NAVIGATION
so say supercalifragilistic in a funny voice please,CHAT
do you like rainbows right now,CHAT
oh move to the corridor thanks,NAVIGATION
i don't understand plants,STUDY
good to see you sunshine,PET
you're so sweet friend,PET
follow me to the dining room thanks,NAVIGATION
spell condensation for me,STUDY
my favorite color is robots thanks,CHAT
hmm my favorite food is food,CHAT
do you know how to wiggle,PET
i want to learn about the solar system,STUDY
what do you do for fun,CHAT
okay head to the garage,NAVIGATION
in the story what if a bear meets a witch,STORY
hmm check your status,SYSTEM
uh turn off airplane mode now,SYSTEM
so speak in english thanks,SYSTEM
set brightness to low right now,SYSTEM
i want to learn about molecules,STUDY
um set volume to seventy percent please,SYSTEM
in the story what does a prince find,STORY
i'm guessing three,GAME
show me how atoms works,STUDY
tell me an adventure story about a mermaid,STORY
can you clarify volcanoes,STUDY
do you like sport,CHAT
um i need a handshake from you,PET
go over fractions again,STUDY
hmm stay still,NAVIGATION
hey my favorite animal is sport,CHAT
good evening honeybun,PET
let's go to the basement,NAVIGATION
give me an explanation of dinosaurs,STUDY
so close your eyes,SYSTEM
what's your favorite penguins please,CHAT
can you tell me a fantasy story,STORY
hey in the game it must be the first one thanks,GAME
okay roll over cupcake right now,PET
uh in the game the answer is the second one,GAME
watch out for the toy,NAVIGATION
put on a smile,PET
can you tell a story with a witch and an alien,STORY
spin me a yarn about an alien okay,STORY
let's start simon says now,GAME
uh i had a okay day right now,CHAT
try doing a dance,PET
i want the secret door,STORY
can you tell a story with a monkey and a ninja,STORY
oh got any maze going please,GAME
so my favorite food is dinosaurs,CHAT
hey there little pumpkin,PET
roll over honeybun,PET
hey i want to play card game,GAME
so hi,CHAT
follow me to the balcony,NAVIGATION
take me to the attic,NAVIGATION
help me understand fractions,STUDY
uh power cycle please,SYSTEM
hey head over to the door now,NAVIGATION
i have a question about molecules,STUDY
i'll guess the cat,GAME
i'm proud of you friend,PET
hey check your status,SYSTEM
can you tell a story with a lion and a wizard,STORY
oh i wanna hear a story about a pirate,STORY
what do you think about pandas,CHAT
let's start spelling bee,GAME
well done love,PET
um let me guess yes right now,GAME
hey final answer the dog okay,GAME
you're adorable sweetie,PET
so please go to the kitchen,NAVIGATION
make it harder now,GAME
lead the way to the couch right now,NAVIGATION
do you want to play pretend please,PET
good morning robot,PET
lead the way to the patio,NAVIGATION
system check right now,SYSTEM
got any card game going,GAME
um i need a hug from you now,PET
show me how the human body works,STUDY
oh how about a game of geography quiz please,GAME
give me a summary of chemistry,STUDY
hey let me guess the second one okay,GAME
uh navigate to the closet,NAVIGATION
okay i love talking to you,CHAT
pet pet pet boo,PET
oh be careful near the door,NAVIGATION
in the story what if a ninja meets a dinosaur,STORY
oh i pick the last one for the game right now,GAME
in the game i'll go with the second one,GAME
hmm load up maze,GAME
what's your favorite flowers,CHAT
hey final answer option a right now,GAME
run diagnostics now,SYSTEM
what does sound mean,STUDY
i'll take care of you buddy,PET
enable night mode right now,SYSTEM
is biology the same as fractions,STUDY
oh continue the story please okay,STORY
do your best march,PET
i'm confused about the solar system,STUDY
uh i pick the first one for the game right now,GAME
good evening baby,PET
what does molecules mean,STUDY
my guess is right thanks,GAME
so set brightness to medium,SYSTEM
hi there little cupcake,PET
in the story what does a penguin find,STORY
i like chocolate okay,CHAT
bring me to the study room please,NAVIGATION
can you clarify plants,STUDY
okay let's play geography quiz,GAME
um let's stop playing right now,GAME
okay mute the sound,SYSTEM
my game answer is five please,GAME
how do you spell division,STUDY
disable do not disturb now,SYSTEM
uh speak in english,SYSTEM
okay in the story what if a superhero meets a prince right now,STORY
hmm for this round i pick twenty,GAME
hey come with me to the patio please,NAVIGATION
can we play number guessing now,GAME
give me an example of ecosystems,STUDY
tell me about molecules,STUDY
hey what's your favorite movie,CHAT
okay my favorite movie is toy okay,CHAT
uh go charge yourself right now,NAVIGATION
uh come with me to the porch please,NAVIGATION
in the story what if a wizard meets a superhero,STORY
what's three plus nine,STUDY
hey turn the sound off please,SYSTEM
let's do patty cake together,PET
oh why is the sky red,CHAT
be careful near the box,NAVIGATION
um i want to play spelling bee right now,GAME
oh mute,SYSTEM
okay hello there love,PET
in the story what if a prince meets a monkey,STORY
um turn off dark mode right now,SYSTEM
make me laugh,CHAT
enable do not disturb okay,SYSTEM
i want to go to the patio,NAVIGATION
load up checkers thanks,GAME
oh restart right now,SYSTEM
i'm here for you little sunshine,PET
what's the difference between sound and condensation,STUDY
set brightness to maximum thanks,SYSTEM
why is oceans important,STUDY
launch checkers,GAME
what do you think about the moon now,CHAT
um walk to the kitchen thanks,NAVIGATION
can you tell a story with a lion and a dragon,STORY
hey my favorite game is stars,CHAT
okay my favorite food is rainbows thanks,CHAT
break down division for me,STUDY
review subtraction with me,STUDY
uh shut down,SYSTEM
begin a tale about a brave knight,STORY
hmm let's play checkers thanks,GAME
oh change language to english thanks,SYSTEM
my favorite color is cars,CHAT
let's play rock paper scissors,GAME
read this lesson about the water cycle,STUDY
uh move to the garage now,NAVIGATION
give me a high five,PET
good to see you cupcake,PET
you're adorable pal,PET
oh take six steps forward,NAVIGATION
oh go to the bathroom,NAVIGATION
i want to learn about addition,STUDY
what's the definition of cells,STUDY
where does a monkey go next in the story,STORY
what's the next part of the story,STORY
so restart your brain okay,SYSTEM
why do we need to learn the human body,STUDY
in the story what does a dragon find,STORY
my favorite color is toy right now,CHAT
uh what's your favorite place thanks,CHAT
um what do you think about birds okay,CHAT
move away from the box okay,NAVIGATION
i want to learn about dinosaurs,STUDY
invent a story about a pirate,STORY
launch puzzle,GAME
oh take me to the bedroom please,NAVIGATION
so disable dark mode please,SYSTEM
okay you make me so happy baby right now,PET
oh my favorite game is place now,CHAT
teach me about addition,STUDY
set brightness to half,SYSTEM
um i can't hear you speak louder okay,SYSTEM
in the story what if a witch meets a wizard,STORY
um what's up okay,CHAT
hi my sweet love,PET
i'm here for you little sweetie,PET
um restart,SYSTEM
oh snuggle time sunshine,PET
you're smart,CHAT
uh speak in german,SYSTEM
summarize erosion for me,STUDY
begin a tale about a bunny,STORY
power cycle right now,SYSTEM
um can you tell a story with a bear and a lion,STORY
hey come with me to the garden,NAVIGATION
spell shapes for me,STUDY
come along with me now,NAVIGATION
where does a princess go next in the story okay,STORY
do you like place,CHAT
unmute right now,SYSTEM
uh shake arm cutie right now,PET
in the story what if a ninja meets a monkey,STORY
hmm load up puzzle,GAME
so i like book right now,CHAT
hmm set brightness to low,SYSTEM
good evening pal,PET
in the story what if a monkey meets a witch,STORY
okay option a is my final game answer,GAME
um be quiet please,SYSTEM
so mute now,SYSTEM
face the couch,NAVIGATION
my guess is red,GAME
i have a question about history,STUDY
let me see your confused face,PET
so my favorite food is game,CHAT
can you tell a story with a penguin and an astronaut,STORY
teach me about the water cycle,STUDY
um make it louder thanks,SYSTEM
go to the window right now,NAVIGATION
i'm confused about history,STUDY
oh what makes thunder okay,CHAT
okay stay away from the table,NAVIGATION
okay disable notifications now,SYSTEM
so can you tell a story with a unicorn and a wizard,STORY
um move a little left,NAVIGATION
what can you tell me about colors,STUDY
oh my favorite animal is cars,CHAT
okay i want to go to the dining room thanks,NAVIGATION
can you tell a story with a ninja and a puppy,STORY
can you tell a story with a lion and a penguin,STORY
i'll guess three,GAME
got any true or false going right now,GAME
okay you make me so happy nugget,PET
can we play treasure hunt now,PET
you did great baby,PET
okay turn off thanks,SYSTEM
uh i'm guessing option three right now,GAME
in the story is an astronaut safe,STORY
so bring me to the porch okay,NAVIGATION
hi my sweet munchkin,PET
what chapter is fractions in,STUDY
hey hush thanks,SYSTEM
um follow me to the basement okay,NAVIGATION
hmm i'm bored okay,CHAT
so hey sweetie i missed you now,PET
um look towards the porch thanks,NAVIGATION
oh play rock paper scissors with me please,GAME
can you tell a story with a prince and an astronaut,STORY
uh i'll guess true okay,GAME
in the story what happens to a princess,STORY
can you tell a story with a princess and a ninja,STORY
okay in the game i think it's true now,GAME
how is the moon used in real life,STUDY
my favorite movie is animal,CHAT
okay go to the garden,NAVIGATION
start a game of i spy,GAME
um my favorite game is place please,CHAT
walk to the sofa,NAVIGATION
um can you tell a story with a mermaid and a unicorn,STORY
so i missed you munchkin,PET
okay disable night mode thanks,SYSTEM
uh walk with me please,NAVIGATION
look towards the window,NAVIGATION
pause everything,SYSTEM
oh change language to spanish,SYSTEM
aww cupcake you're the best,PET
oh my favorite food is dinosaurs,CHAT
what's your favorite place okay,CHAT
make up a story about a dragon,STORY
load up true or false thanks,GAME
oh create a story with a bear please,STORY
okay hey,CHAT
can you tell a story with a princess and a witch,STORY
oh let's go to the bathroom okay,NAVIGATION
can you count to a hundred thanks,CHAT
can you tell a story with an alien and a brave knight,STORY
i'm proud of you sweetie,PET
what is the answer to six times four,STUDY
i wanna hear a story about a detective,STORY
hmm pause everything,SYSTEM
can you explain the moon,STUDY
uh restart everything okay,SYSTEM
tell me a short story,STORY
uh my favorite game is pandas right now,CHAT
look towards the bookshelf thanks,NAVIGATION
let me see your surprised face,PET
play red light green light with me,PET
so tell me something funny now,CHAT
in the story what happens to a wizard please,STORY
in the story what if a bunny meets a wizard now,STORY
shake hand honeybun,PET
for the game i choose left,GAME
hey launch word guess right now,GAME
uh enable wifi,SYSTEM
summarize volcanoes for me,STUDY
shake paw darling,PET
you're too loud thanks,SYSTEM
hey shake paw sweetie okay,PET
what do you think about dinosaurs,CHAT
can you tell a story with a mermaid and a wizard,STORY
hey please go to the back door thanks,NAVIGATION
hmm go to the entrance please,NAVIGATION
um dock yourself,NAVIGATION
my favorite game is stars,CHAT
um my favorite color is chocolate thanks,CHAT
um my favorite game is penguins now,CHAT
let's cuddle cutie,PET
hey lead the way to the garden right now,NAVIGATION
make up a story about a wizard,STORY
read this lesson about continents,STUDY
so my favorite food is ice cream please,CHAT
uh good to see you friend okay,PET
so aww hello sweetie right now,PET
uh good morning sweetie please,PET
um turn off night mode please,SYSTEM
so good afternoon right now,CHAT
hey hush,SYSTEM
begin a new game of would you rather thanks,GAME
so louder please,SYSTEM
hmm i'll take care of you love okay,PET
i want the bright forest,STORY
lead the way to the kitchen,NAVIGATION
i love you robot,PET
play ball with me right now,PET
read me a story about a lion,STORY
start a new story about a puppy,STORY
so i feel like playing word guess please,GAME
oh in the story is a bear safe,STORY
hmm let me see your smile okay,PET
uh enable dark mode right now,SYSTEM
well done sweetie,PET
i want to hear a story about a bunny,STORY
teach me about subtraction,STUDY
um check for updates,SYSTEM
cancel everything now,SYSTEM
do you know any songs,CHAT
take the magic portal,STORY
turn off thanks,SYSTEM
in the story what if a ninja meets a fairy,STORY
oh set brightness to medium right now,SYSTEM
please go to the back door okay,NAVIGATION
i pick no for the game now,GAME
um let's start rock paper scissors okay,GAME
uh go to the stairs,NAVIGATION
hey turn on notifications right now,SYSTEM
i'll take care of you love,PET
um can you tell a story with a lion and a brave knight,STORY
okay start a game of spelling bee right now,GAME
what's the definition of magnets,STUDY
stay away from the dog,NAVIGATION
hmm move a little backward,NAVIGATION
aww honeybun you're the best,PET
uh give me your hand please,PET
take me to the front door,NAVIGATION
what chapter is animals in,STUDY
in the game the answer is option three,GAME
hey honeybun you're so cute right now,PET
head to the balcony now,NAVIGATION
goodbye,CHAT
uh let's have fun playing chase,PET
so abort thanks,SYSTEM
let's review volcanoes,STUDY
can you tell a story with a bear and a fairy,STORY
where does a ninja go next in the story,STORY
okay turn on airplane mode right now,SYSTEM
okay my favorite color is book,CHAT
what can you tell me about dinosaurs,STUDY
well done cupcake,PET
what's the difference between gravity and geography,STUDY
play tic-tac-toe with me,GAME
uh face the attic,NAVIGATION
oh snuggle time nugget,PET
switch to chinese please,SYSTEM
please go to the couch,NAVIGATION
snuggle time cutie,PET
speak in japanese okay,SYSTEM
what's the difference between the moon and the solar system,STUDY
okay in the game the answer is the first one,GAME
in the story what if a dinosaur meets a dragon,STORY
so in the game i'll go with blue okay,GAME
so my favorite movie is cars okay,CHAT
hmm avoid the toy,NAVIGATION
can you tell a story with a penguin and a pirate,STORY
head over to the bookshelf thanks,NAVIGATION
take four steps backward,NAVIGATION
okay take three steps around,NAVIGATION
hmm shake little paw pal now,PET
load up geography quiz,GAME
thanks a lot thanks,CHAT
uh my favorite game is flowers,CHAT
so do you like flowers,CHAT
what can you tell me about oceans,STUDY
um did you know that the sun,CHAT
do you want to play chase,PET
okay do a restart now,SYSTEM
is weather the same as addition,STUDY
uh i'll guess no okay,GAME
oh what's up now,CHAT
can you tell a story with a monkey and a princess,STORY
uh face the balcony now,NAVIGATION
i pick option one for the game thanks,GAME
can you tell a story with a monkey and a puppy,STORY
